date,equity,cash,n_positions,exposure,drawdown
2023-10-02,103354.62353256792,103354.62353256792,0,0.0,0.10041263537233495
2023-10-03,103354.62353256792,103354.62353256792,0,0.0,0.10041263537233495
2023-10-04,103354.62353256792,103354.62353256792,0,0.0,0.10041263537233495
2023-10-05,103354.62353256792,103354.62353256792,0,0.0,0.10041263537233495
2023-10-06,103354.62353256792,103354.62353256792,0,0.0,0.10041263537233495
2023-10-07,103354.62353256792,103354.62353256792,0,0.0,0.10041263537233495
2023-10-08,103354.62353256792,103354.62353256792,0,0.0,0.10041263537233495
2023-10-09,103354.62353256792,103354.62353256792,0,0.0,0.10041263537233495
2023-10-10,103829.1520892057,66067.05007585377,2,0.36369460073128884,0.09628239059841014
2023-10-11,103459.1914532264,66067.05007585377,2,0.3614192306372074,0.09950248760192462
2023-10-12,103223.10673107769,66067.05007585377,2,0.3599587130430481,0.10155734326070122
2023-10-13,103369.15720078314,66067.05007585377,2,0.36086302853833047,0.10028613591017989
2023-10-14,103471.58977561495,66067.05007585377,2,0.3614957475851625,0.09939457395682484
2023-10-15,104040.18601201854,66067.05007585377,2,0.3649852753221547,0.09444557436337811
2023-10-16,104960.16473866545,66067.05007585377,2,0.37055119682452403,0.08643817991955798
2023-10-17,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-10-18,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-10-19,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-10-20,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-10-21,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-10-22,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-10-23,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-10-24,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-10-25,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-10-26,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-10-27,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-10-28,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-10-29,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-10-30,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-10-31,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-01,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-02,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-03,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-04,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
2023-11-05,104919.13002928889,104919.13002928889,0,0.0,0.08679534155204836
